Rank,Player,OVR,PER,WS,BPM,PPG,RPG,APG,Predicted_OVR,Residual
1,Nikola Jokic,98,32.0,16.4,13.3,29.585714285714285,12.742857142857142,10.228571428571428,100.3150892245813,2.3150892245812997
2,Giannis Antetokounmpo,98,30.5,11.5,9.5,30.388059701492537,11.91044776119403,6.462686567164179,97.74442476467071,-0.25557523532928883
3,Shai Gilgeous-Alexander,98,30.7,16.7,11.5,32.68421052631579,4.9868421052631575,6.394736842105263,100.99396152235084,2.993961522350844
4,Luka Doncic,96,24.1,5.9,6.7,28.16,8.18,7.66,94.02514900504556,-1.974850994954437
5,LeBron James,96,22.7,7.7,5.6,24.428571428571427,7.8,8.214285714285714,91.88542329566509,-4.114576704334908
6,Stephen Curry,95,21.5,7.9,6.3,24.542857142857144,4.428571428571429,6.014285714285714,92.35594465366607,-2.6440553463339285
7,Jayson Tatum,95,21.7,9.5,5.2,26.833333333333332,8.652777777777779,5.986111111111111,93.24891326788473,-1.7510867321152688
8,Anthony Davis,95,26.3,6.7,5.4,24.725490196078432,11.568627450980392,3.549019607843137,91.73565045763124,-3.2643495423687625
9,Anthony Edwards,94,20.1,8.4,4.3,27.556962025316455,5.69620253164557,4.544303797468355,92.92402208385266,-1.0759779161473375
10,Donovan Mitchell,94,20.9,7.6,3.7,23.95774647887324,4.535211267605634,4.985915492957746,90.61252855475469,-3.3874714452453105
11,Victor Wembanyama,94,24.2,3.8,6.5,24.26086956521739,11.0,3.652173913043478,91.52107029441918,-2.478929705580825
12,Joel Embiid,93,23.4,1.4,3.5,23.789473684210527,8.157894736842104,4.473684210526316,89.2137550786843,-3.7862449213156992
13,Kevin Durant,93,21.2,5.2,3.2,26.56451612903226,6.032258064516129,4.241935483870968,91.20856843081489,-1.7914315691851073
14,Jalen Brunson,93,21.6,8.3,3.3,26.0,2.876923076923077,7.3076923076923075,91.5770955051236,-1.4229044948764056
15,Karl-Anthony Towns,93,23.4,10.1,3.6,24.430555555555557,12.77777777777778,3.0833333333333335,91.28676814383269,-1.7132318561673117
16,Kyrie Irving,92,19.9,4.6,3.4,24.68,4.8,4.62,90.23725363222393,-1.7627463677760744
17,Ja Morant,92,19.3,3.5,2.4,23.18,4.1,7.28,88.72482039434685,-3.2751796056531504
18,Cade Cunningham,92,20.6,5.9,3.9,26.142857142857142,6.071428571428571,9.114285714285714,91.50299996542935,-0.4970000345706467
19,Evan Mobley,92,22.3,9.0,4.6,18.535211267605632,9.28169014084507,3.183098591549296,88.59900626706609,-3.4009937329339124
20,Jaylen Brown,91,17.8,5.2,0.0,22.19047619047619,5.841269841269841,4.5396825396825395,87.27090864097983,-3.729091359020174
21,Kawhi Leonard,91,20.5,3.5,3.1,21.513513513513512,5.918918918918919,3.135135135135135,88.24810695964453,-2.751893040355469
22,Damian Lillard,91,21.3,7.6,4.0,24.948275862068964,4.689655172413793,7.068965517241379,91.27776230845159,0.2777623084515852
23,Trae Young,91,18.3,5.7,0.5,24.223684210526315,3.1052631578947367,11.578947368421051,88.67192601155233,-2.32807398844767
24,Devin Booker,90,19.3,6.4,0.4,25.64,4.066666666666666,7.053333333333334,89.47721167203687,-0.5227883279631271
25,Tyrese Haliburton,90,21.8,10.4,5.8,18.616438356164384,3.5342465753424657,9.219178082191782,89.55279267215917,-0.44720732784082884
26,Paolo Banchero,90,20.0,3.5,3.5,25.89130434782609,7.5,4.760869565217392,90.69441956499472,0.6944195649947176
27,Jaren Jackson Jr.,90,19.6,6.4,2.3,22.175675675675677,5.635135135135135,2.0,88.72343976632351,-1.2765602336764914
28,James Harden,90,20.0,8.3,4.3,22.81012658227848,5.772151898734177,8.69620253164557,90.48333683402167,0.4833368340216708
29,Bam Adebayo,89,18.9,7.5,2.0,18.076923076923077,9.602564102564102,4.32051282051282,86.68680510429682,-2.3131948957031767
30,Zion Williamson,89,27.3,2.5,7.0,24.566666666666663,7.2,5.3,91.69077272885288,2.6907727288528775
31,Jalen Williams,89,20.3,7.8,4.0,21.594202898550726,5.3478260869565215,5.144927536231884,89.60585499456523,0.6058549945652345
32,Franz Wagner,89,20.1,5.6,3.1,24.15,5.7,4.733333333333333,90.00148455285698,1.0014845528569793
33,Domantas Sabonis,88,22.9,10.1,5.2,19.1,13.885714285714286,6.042857142857143,89.42109125878186,1.421091258781857
34,LaMelo Ball,88,19.1,2.0,3.2,25.19148936170213,4.9361702127659575,7.361702127659575,89.8856290497786,1.8856290497786006
35,Kristaps Porzingis,88,22.3,5.3,4.7,19.47619047619047,6.761904761904762,2.0714285714285716,88.41242718162314,0.4124271816231442
36,Zach LaVine,88,17.3,5.1,0.7,23.2972972972973,4.256756756756757,4.1891891891891895,88.18932635282883,0.1893263528288287
37,Tyler Herro,88,19.7,7.4,3.1,23.896103896103895,5.181818181818182,5.5064935064935066,90.22218972712955,2.222189727129546
38,Darius Garland,88,19.9,8.1,3.1,20.586666666666662,2.8533333333333335,6.746666666666667,88.6703305674817,0.6703305674816988
39,Ivica Zubac,88,22.3,11.7,3.1,16.75,12.625,2.675,87.41377437880335,-0.5862256211966468
40,Jimmy Butler,87,22.4,8.7,4.9,17.527272727272727,5.381818181818182,5.418181818181818,88.18650853669058,1.1865085366905816
41,Tyrese Maxey,87,19.5,3.8,2.0,26.326923076923077,3.3461538461538463,6.096153846153846,90.17502408442681,3.175024084426809
42,Pascal Siakam,87,19.2,7.5,1.7,20.23076923076923,6.923076923076923,3.371794871794872,87.62543010475865,0.6254301047586495
43,DeMar DeRozan,87,17.7,7.1,-0.1,22.20779220779221,3.8701298701298703,4.441558441558442,87.59607700821631,0.5960770082163123
44,Chet Holmgren,87,19.2,3.2,2.4,14.96875,8.03125,1.96875,84.47812108068649,-2.521878919313508
45,Jamal Murray,87,17.8,6.2,0.8,21.432835820895523,3.8955223880597014,6.014925373134329,87.50566454170276,0.5056645417027568
46,Derrick White,87,16.6,8.5,3.5,16.42105263157895,4.4868421052631575,4.75,86.83671385831683,-0.16328614168317301
47,Alperen Sengun,87,21.4,8.3,4.4,19.092105263157897,10.342105263157896,4.894736842105263,88.64020800514474,1.6402080051447427
48,OG Anunoby,87,15.4,6.5,0.7,18.0,4.837837837837838,2.216216216216216,85.75970789053873,-1.2402921094612651
49,Austin Reaves,87,18.1,7.6,1.9,20.205479452054796,4.506849315068493,5.767123287671233,87.73864808890544,0.7386480889054354
50,Norman Powell,87,17.5,5.3,1.5,21.766666666666666,3.1666666666666665,2.0833333333333335,87.8741522330263,0.8741522330262939
51,Amen Thompson,87,18.7,8.0,4.1,14.057971014492754,8.173913043478262,3.840579710144928,85.85407513388374,-1.1459248661162604
52,De'Aaron Fox,86,18.3,4.3,0.4,23.532258064516128,4.806451612903226,6.32258064516129,87.99353200989187,1.9935320098918652
53,Julius Randle,86,17.5,6.2,1.3,18.666666666666668,7.057971014492754,4.681159420289855,86.36137201916792,0.3613720191679164
54,Brandon Ingram,86,16.0,0.0,-0.3,22.22222222222222,5.555555555555555,5.166666666666667,86.11538990030589,0.11538990030588536
55,Rudy Gobert,86,18.3,10.1,1.9,12.02777777777778,10.90277777777778,1.7638888888888888,84.05383278943094,-1.9461672105690582
56,Mikal Bridges,86,14.0,5.7,-0.5,17.609756097560975,3.158536585365854,3.731707317073171,84.76503742414664,-1.2349625758533591
57,Jalen Green,86,15.1,5.1,0.5,21.01219512195122,4.597560975609756,3.4390243902439024,86.91709765103532,0.9170976510353199
58,Jarrett Allen,86,22.1,11.6,4.2,13.451219512195122,9.731707317073171,1.9268292682926829,86.29833981988934,0.29833981988933544
59,Desmond Bane,86,17.9,6.5,3.2,19.231884057971016,6.057971014492754,5.3478260869565215,87.72132600831753,1.7213260083175328
60,Deni Avdija,86,17.7,5.6,2.1,16.930555555555557,7.25,3.9027777777777777,85.78573887838004,-0.21426112161995547
61,Jrue Holiday,85,13.5,5.1,0.7,11.064516129032258,4.274193548387097,3.854838709677419,81.94972394742167,-3.050276052578326
62,Scottie Barnes,85,17.8,3.5,2.4,19.26153846153846,7.723076923076923,5.815384615384615,86.72612183965443,1.7261218396544251
63,Coby White,85,15.5,4.5,-0.9,20.39189189189189,3.689189189189189,4.45945945945946,85.73733112583939,0.7373311258393898
64,John Collins,85,19.0,2.5,1.0,18.95,8.175,2.0,85.62602309610116,0.6260230961011644
65,Dyson Daniels,85,15.6,5.0,1.5,14.11842105263158,5.907894736842105,4.381578947368421,83.91462584207258,-1.0853741579274185
66,Quentin Grimes,85,15.9,3.4,0.4,14.56,4.32,3.04,83.24192674353041,-1.7580732564695865
67,Josh Giddey,85,18.1,5.3,3.0,14.6,8.085714285714285,7.185714285714286,85.01859526457585,0.01859526457585048
68,Jalen Johnson,85,17.3,2.4,1.8,18.88888888888889,9.97222222222222,5.027777777777778,86.00204170446521,1.0020417044652135
69,Lauri Markkanen,84,15.6,2.2,-0.3,18.97872340425532,5.914893617021277,1.4893617021276595,84.88900620827228,0.8890062082722778
70,Dejounte Murray,84,15.4,0.2,-1.6,17.483870967741936,6.451612903225806,7.354838709677419,83.04410114511414,-0.9558988548858594
71,C.J. McCollum,84,15.8,1.5,-1.4,21.125,3.7857142857142856,4.053571428571429,85.2609313690554,1.260931369055399
72,Aaron Gordon,84,17.0,4.3,1.2,14.666666666666666,4.8431372549019605,3.215686274509804,83.89808555158315,-0.10191444841684927
73,Myles Turner,84,16.1,4.7,0.4,15.555555555555555,6.541666666666667,1.5416666666666667,84.00266185230204,0.0026618523020403018
74,Draymond Green,84,12.4,3.7,0.5,9.014705882352942,6.088235294117647,5.632352941176471,80.5251251609286,-3.474874839071404
75,Josh Hart,84,16.5,9.2,2.8,13.64935064935065,9.571428571428571,5.883116883116883,85.18582343142455,1.1858234314245522
76,Jalen Suggs,84,14.4,1.1,0.4,16.2,4.0285714285714285,3.6857142857142855,83.63095401970902,-0.3690459802909771
77,Cam Thomas,84,18.0,1.2,0.3,23.96,3.32,3.76,87.55524021280073,3.555240212800726
78,Isaiah Hartenstein,84,18.9,6.8,3.2,11.175438596491228,10.719298245614034,3.824561403508772,83.67032504142293,-0.32967495857707263
79,Nikola Vucevic,84,20.3,7.3,2.6,18.47945205479452,10.068493150684931,3.506849315068493,87.17319606441052,3.1731960644105186
80,Jalen Duren,84,21.4,9.2,3.1,11.76923076923077,10.346153846153848,2.6794871794871793,84.38681861156373,0.38681861156372577
81,Stephon Castle,84,13.7,1.1,-3.2,14.691358024691358,3.6666666666666665,4.098765432098766,80.94153134485393,-3.058468655146072
82,Cameron Johnson,84,18.2,5.1,3.1,18.771929824561404,4.333333333333333,3.4035087719298245,87.1609994095461,3.1609994095460934
83,Onyeka Okongwu,84,19.0,7.2,1.3,13.35135135135135,8.91891891891892,2.27027027027027,83.84473850222294,-0.15526149777706166
84,Trey Murphy III,84,17.3,3.5,0.8,21.20754716981132,5.056603773584905,3.547169811320755,86.86543524619357,2.86543524619357
85,Paul George,83,14.5,1.0,-0.4,16.21951219512195,5.341463414634147,4.341463414634147,83.19480467632762,0.194804676327621
86,Bradley Beal,83,15.2,2.4,-1.1,17.0188679245283,3.339622641509434,3.679245283018868,83.50160473301005,0.5016047330100548
87,Michael Porter Jr.,83,16.2,6.4,-0.1,18.155844155844157,7.012987012987013,2.142857142857143,85.39309769924019,2.3930976992401867
88,Deandre Ayton,83,17.7,2.8,-0.7,14.4,10.15,1.6,82.45694031680681,-0.5430596831931922
89,Immanuel Quickley,83,17.5,2.5,2.2,17.09090909090909,3.5454545454545454,5.787878787878788,85.3177211322595,2.317721132259507
90,R.J. Barrett,83,16.5,2.4,0.6,21.08620689655172,6.310344827586207,5.413793103448276,86.48286393077166,3.482863930771657
91,Andrew Nembhard,83,11.7,2.8,-2.3,10.046153846153846,3.3230769230769233,5.015384615384615,79.38287248070831,-3.617127519291685
92,Devin Vassell,83,14.2,2.2,-1.1,16.265625,3.984375,2.859375,83.07848412623778,0.07848412623778245
93,Miles Bridges,83,17.7,3.2,1.8,20.3125,7.515625,3.875,86.88383537604504,3.8838353760450417
94,Daniel Gafford,83,24.7,5.9,3.8,12.298245614035087,6.807017543859649,1.4035087719298245,84.38791686719406,1.3879168671940647
95,Dereck Lively II,83,20.1,3.4,3.3,8.722222222222221,7.5,2.361111111111111,81.81082934759183,-1.1891706524081656
96,Jaden McDaniels,83,13.3,6.3,0.0,12.195121951219512,5.7317073170731705,1.9878048780487805,82.3865732077266,-0.6134267922734011
97,Collin Sexton,83,16.6,2.4,-0.6,18.396825396825395,2.7142857142857144,4.190476190476191,84.4711162679094,1.4711162679093945
98,Payton Pritchard,83,17.6,8.6,3.5,14.3,3.8375,3.4875,85.77427987786041,2.7742798778604083
99,Malik Monk,83,15.0,2.8,-0.8,17.184615384615384,3.769230769230769,5.569230769230769,83.82396466592168,0.8239646659216788
100,Dillon Brooks,83,11.0,5.1,-1.4,14.04,3.6666666666666665,1.7066666666666668,82.34749043753442,-0.6525095624655819
